date,symbol,open,high,low,close,Volume BTC,Volume USD
2021-10-03 07:00:00,BTC/USD,48005.75,48017.01,47834.4,47917.81,20.11040552,963646.590730311
2021-10-03 06:00:00,BTC/USD,48024.01,48081.38,47935.6,48004.19,18.30117962,878533.303702608
2021-10-03 05:00:00,BTC/USD,47901.48,48132.18,47899.54,48026.48,32.13833373,1543491.04211717
2021-10-03 04:00:00,BTC/USD,47940.56,47990.6,47823.99,47921.14,10.73264043,514320.36461569
2021-10-03 03:00:00,BTC/USD,47659.11,47975.22,47574.53,47943.81,13.13828374,629899.379356649
2021-10-03 02:00:00,BTC/USD,47536.34,47777.94,47523.36,47659.2,12.82481701,611220.518842992
2021-10-03 01:00:00,BTC/USD,47321.26,47636.31,47264.87,47564.23,52.1114336,2478640.21338013
2021-10-03 00:00:00,BTC/USD,47644.63,47823.32,47119.87,47329.37,128.38626563,6076441.06892055
2021-10-02 23:00:00,BTC/USD,48083.27,48205.52,47549.64,47685.8,34.76049848,1657582.17841758
2021-10-02 22:00:00,BTC/USD,48156.78,48301,48041.28,48080.98,73.15931125,3517571.38102502
2021-10-02 21:00:00,BTC/USD,48070.46,48200,48026.05,48159.15,25.17895392,1212597.01867637
2021-10-02 20:00:00,BTC/USD,48276.12,48276.12,47913.81,48025.94,27.69255985,1329961.21780251
2021-10-02 19:00:00,BTC/USD,47904.53,48297.16,47904.53,48274.06,62.7687593,3030102.85257376
2021-10-02 18:00:00,BTC/USD,47909.33,47944.5,47762.19,47901.08,23.78841529,1139490.78387951
2021-10-02 17:00:00,BTC/USD,48030.44,48079,47845.45,47905.57,34.0365062,1630538.23031953
2021-10-02 16:00:00,BTC/USD,47900.59,48043.28,47677.27,48027.1,84.45130487,4055951.26412198
2021-10-02 15:00:00,BTC/USD,48063.9,48077.8,47840.24,47882.89,67.2372809,3219515.3252338
2021-10-02 14:00:00,BTC/USD,47853.51,48149,47829.65,48055.6,48.54560299,2332888.07904624
2021-10-02 13:00:00,BTC/USD,47769.81,48361.83,47674.25,47853.57,264.93722923,12678192.2445639
2021-10-02 12:00:00,BTC/USD,47720.72,47800,47650.26,47762.56,22.24910214,1062674.07590788
2021-10-02 11:00:00,BTC/USD,47652.16,47760.28,47517.73,47720.72,23.47220105,1120110.33409076
2021-10-02 10:00:00,BTC/USD,47747.14,47803.47,47572.66,47642.44,55.68856162,2653138.95566715
2021-10-02 09:00:00,BTC/USD,47774.4,47926.16,47710,47744.95,20.48778094,978188.076591253
2021-10-02 08:00:00,BTC/USD,47760.98,47776.6,47541.45,47740.84,37.87827777,1808340.79849313
2021-10-02 07:00:00,BTC/USD,47821.42,47887.22,47731.96,47767.63,17.17038101,820188.407044706
2021-10-02 06:00:00,BTC/USD,47774.25,47935.26,47690.56,47827.7,50.65202627,2422569.91683368
2021-10-02 05:00:00,BTC/USD,47596.67,47839,47549.25,47772.92,154.66205105,7388657.79184757
2021-10-02 04:00:00,BTC/USD,47552.89,47718.5,47468.15,47601.74,14.87540412,708095.119315169
2021-10-02 03:00:00,BTC/USD,47726.96,47796.37,47470.43,47543.44,32.71004349,1555147.99006421
2021-10-02 02:00:00,BTC/USD,47739.63,47900.03,47676.47,47740.56,27.88057616,1331034.31900105
2021-10-02 01:00:00,BTC/USD,47800,48130.05,47709.59,47769.67,127.93540817,6111432.2295962
2021-10-02 00:00:00,BTC/USD,48185.61,48259.57,47634.59,47842.41,29.6257906,1417369.22045935
2021-10-01 23:00:00,BTC/USD,48033.54,48198.28,47949.22,48171.86,30.36372647,1462677.18059113
2021-10-01 22:00:00,BTC/USD,48416.23,48500,47756.69,48031.16,65.22506934,3132835.74148064
2021-10-01 21:00:00,BTC/USD,48159.12,48466.16,48110.91,48368.75,151.13523934,7310222.60782663
2021-10-01 20:00:00,BTC/USD,48058.24,48214.5,47760.1,48164.71,62.85186355,3027241.78084532
2021-10-01 19:00:00,BTC/USD,47754.26,48236.08,47740.32,48046.25,228.46358293,10976818.4213505
2021-10-01 18:00:00,BTC/USD,47655.37,47949,47475.25,47753.98,114.32672107,5459555.95144236
2021-10-01 17:00:00,BTC/USD,47596.99,47737,47438.32,47647.89,57.93918402,2760679.86687472
2021-10-01 16:00:00,BTC/USD,47399,47883.19,47254.09,47592.73,196.37864376,9346195.77023586
2021-10-01 15:00:00,BTC/USD,47189,47518.43,47060.73,47370.27,171.31344752,8115164.26365323
2021-10-01 14:00:00,BTC/USD,47009.86,47340.8,46726.35,47146.76,297.60173174,14030957.4219302
2021-10-01 13:00:00,BTC/USD,47220.78,47397.05,46980.74,47013.31,178.14660463,8375261.54891762
2021-10-01 12:00:00,BTC/USD,47530,47911.47,47044.66,47229.84,304.82404853,14396791.0402241
2021-10-01 11:00:00,BTC/USD,47109.73,47673.76,46933.72,47492.29,294.75606175,13998640.3638889
2021-10-01 10:00:00,BTC/USD,44945.3,47800,44854.12,47102.68,526.62347568,24805377.0554428
2021-10-01 09:00:00,BTC/USD,44973.42,45021.97,44781.38,44922.17,74.01763649,3325032.84940198
2021-10-01 08:00:00,BTC/USD,44829.26,44973.05,44726.3,44942.86,74.82335684,3362775.65119016
2021-10-01 07:00:00,BTC/USD,44009.21,44841.6,43919.89,44811.08,166.89835723,7478895.63770211
2021-10-01 06:00:00,BTC/USD,43883.73,44039,43747.85,43999.97,87.22881641,3838065.30517551
2021-10-01 05:00:00,BTC/USD,43639.26,43905.21,43523.09,43864.8,63.89029552,2802535.0349257
2021-10-01 04:00:00,BTC/USD,43650.49,43718.29,43475.43,43624.33,34.47033639,1503745.32988837
2021-10-01 03:00:00,BTC/USD,43384.97,43691.65,43367.44,43625.78,37.0951993,1618307.00371795
2021-10-01 02:00:00,BTC/USD,43746.2,43806.06,43291.07,43388.63,70.61342058,3063819.57858001
2021-10-01 01:00:00,BTC/USD,43679.74,43802.28,43416.9,43741.97,118.10577335,5166179.1947025
2021-10-01 00:00:00,BTC/USD,43835.47,44053.4,43680,43749.19,39.77967262,1740328.45559018
2021-09-30 23:00:00,BTC/USD,43750.86,43912.02,43600.19,43834.43,45.56951931,1997513.90432784
